,values
0,0.032733333
1,0.011733333
2,0.033933333
3,0.020316667
4,0.041883333
5,0.040516667
6,0.0512
7,0.024866667
8,0.021116667
9,0.023283333
10,0.031583333
11,0.0211
12,0.040966667
13,0.040066667
14,0.03775
15,0.034616667
16,0.050866667
17,0.037766667
18,0.016033333
19,0.040366667
20,0.05275
21,0.017683333
22,0.031716667
23,0.033833333
24,0.0417
25,0.043883333
26,0.0542
27,0.028816667
28,0.0406
29,0.036533333
30,0.029633333
31,0.05085
32,0.0392
33,0.035466667
34,0.025466667
35,0.029466667
36,0.019816667
37,0.021633333
38,0.028666667
39,0.03575
40,0.02425
41,0.017616667
42,0.033266667
43,0.01645
44,0.010283333
45,0.028716667
46,0.0122
47,0.017683333
48,0.02775
49,0.013133333
50,0.038966667
51,0.01465
52,0.017033333
53,0.029116667
54,0.03355
55,0.033183333
56,0.039483333
57,0.055116667
58,0.0485
59,0.013316667
60,0.018316667
61,0.014016667
62,0.020983333
63,0.020133333
64,0.076216667
65,0.007583333
66,0.0085
67,0.0008
68,0.010716667
69,0.012866667
70,0.010333333
71,0.007666667
72,0.013666667
73,0.00055
74,0.01825
75,0.0165
76,0.003633333
77,0.020416667
78,0.020966667
79,0.026266667
80,0.024183333
81,0.017883333
82,0.027966667
83,0.031216667
84,0.004716667
85,0.004666667
86,0.023433333
87,0.0125
88,0.007833333
89,0.010866667
90,0.026883333
91,0.030216667
92,0.00375
93,0.027983333
94,0.003733333
95,0.00735
96,0.012083333
97,0.019316667
98,0.019533333
99,0.013616667
100,0.02285
101,0.015366667
102,0.0
103,0.022816667
104,0.02685
105,0.02875
106,0.013416667
107,0.010033333
108,0.006583333
109,0.004266667
110,0.004916667
111,0.006366667
112,0.354866667
113,0.011783333
114,0.011383333
115,0.013183333
116,0.006316667
117,0.0112
118,0.00435
119,0.01545
120,0.01495
121,0.014916667
122,0.0
123,0.01565
124,0.007666667
125,0.024533333
126,0.012916667
127,0.1341
128,0.015033333
129,0.158416667
130,0.023483333
131,0.024883333
132,0.02
133,0.028833333
134,0.067583333
135,0.005183333
136,0.0042
137,0.008783333
138,0.002116667
139,0.01135
140,0.017183333
141,0.000533333
142,0.015816667
143,0.01095
144,0.017783333
145,0.013633333
146,0.013316667
147,0.016633333
148,0.017166667
149,0.023333333
150,0.0024
151,0.002316667
152,0.024883333
153,0.022766667
154,0.055466667
155,0.006983333
156,0.009316667
157,0.001583333
158,0.010383333
159,0.0
160,0.001166667
161,0.012866667
162,0.01115
163,0.017866667
164,0.0
165,0.017433333
166,0.01475
167,0.02045
168,0.002533333
169,0.005983333
170,0.0213
171,0.019833333
172,0.000933333
173,0.0
174,0.00745
175,0.004966667
176,0.002716667
177,0.010233333
178,0.014666667
179,0.012933333
180,0.016083333
181,0.000616667
182,0.00095
183,0.140166667
184,0.0014
185,0.0079
186,0.006983333
187,0.00535
188,0.007516667
189,0.009566667
190,0.0
191,0.003266667
192,0.009266667
193,0.014766667
194,0.014516667
195,0.003666667
196,0.0171
197,0.01755
198,0.0191
199,0.014766667
200,0.023416667
201,0.0
202,0.0231
203,0.005633333
204,0.0
205,0.0054
206,0.0
207,0.0
208,0.0
209,0.0
210,0.010983333
211,0.017033333
212,0.0
213,0.01785
214,0.018866667
215,0.004566667
216,0.014766667
217,0.012666667
218,0.0186
219,0.020683333
220,0.012316667
221,0.0
222,0.009916667
223,0.011566667
224,0.01425
225,0.01835
226,0.024566667
227,0.001366667
228,0.0
229,0.022216667
230,0.008583333
231,0.015516667
232,0.01335
233,0.022683333
234,0.026416667
235,0.000583333
236,0.004016667
237,0.0
238,0.0
239,0.018016667
240,0.0205
241,0.0
242,0.00305
243,0.022983333
244,0.012633333
245,0.0018
246,0.030483333
247,0.00225
248,0.008783333
249,0.0067
250,0.0056
251,0.00335
252,0.008066667
253,0.00725
254,0.013566667
255,0.009633333
256,0.011483333
