,values
2022/2/8,2307194880
2022/2/9,2306605056
2022/2/10,2306605056
2022/2/11,2306605056
2022/2/12,2306605056
2022/2/13,2306605056
2022/2/14,2306605056
2022/2/15,2306605056
2022/2/16,2306605056
2022/2/17,2306605056
2022/2/18,2306605056
2022/2/19,2306605056
2022/2/20,2306605056
2022/2/21,2306605056
2022/2/22,2306605056
2022/2/23,2306605056
2022/2/24,2306605056
2022/2/25,2306605056
2022/2/26,2306605056
2022/2/27,2306605056
2022/2/28,4489089024
2022/3/1,4489089024
2022/3/2,4489089024
2022/3/3,4489089024
2022/3/4,4489089024
2022/3/5,4489089024
2022/3/6,4489089024
2022/3/7,4489089024
2022/3/8,4489089024
2022/3/9,4489089024
2022/3/10,4489089024
2022/3/11,4489089024
2022/3/12,4489089024
2022/3/13,4489089024
2022/3/14,4489089024
2022/3/15,4489089024
2022/3/16,4489089024
2022/3/17,4489089024
2022/3/18,4489089024
2022/3/19,4489089024
2022/3/20,4489089024
2022/3/21,7115231232
2022/3/22,6670946304
2022/3/23,6670946304
2022/3/24,6670946304
2022/3/25,6670946304
2022/3/26,6670946304
2022/3/27,6670946304
2022/3/28,6670946304
2022/3/29,6670946304
2022/3/30,6670946304
2022/3/31,6670946304
2022/4/1,6670946304
2022/4/2,6670946304
2022/4/3,6670946304
2022/4/4,6670946304
2022/4/5,6670946304
2022/4/6,6670946304
2022/4/7,6670946304
2022/4/8,6670946304
2022/4/9,6670946304
2022/4/10,6670946304
2022/4/11,6670946304
2022/4/12,9344716800
2022/4/13,8865619968
2022/4/14,8865619968
2022/4/15,8865619968
2022/4/16,8865619968
2022/4/17,8865619968
2022/4/18,8865619968
2022/4/19,8865619968
2022/4/20,8865619968
2022/4/21,8865619968
2022/4/22,8865619968
2022/4/23,8865619968
2022/4/24,8865619968
2022/4/25,8865619968
2022/4/26,8865619968
2022/4/27,8865619968
2022/4/28,8865619968
2022/4/29,8865619968
2022/4/30,8865619968
2022/5/1,8865619968
2022/5/2,8865619968
2022/5/3,8865619968
2022/5/4,8865619968
2022/5/5,8865619968
2022/5/6,8865619968
2022/5/7,8865619968
2022/5/8,8865619968
2022/5/9,8865619968
2022/5/10,8865619968
2022/5/11,8865619968
2022/5/12,8865619968
2022/5/13,8865619968
2022/5/14,8865619968
2022/5/15,8865619968
2022/5/16,11819864064
2022/5/17,11060035584
2022/5/18,11060035584
2022/5/19,11060035584
2022/5/20,11060035584
2022/5/21,11060035584
2022/5/22,11060035584
2022/5/23,11060035584
2022/5/24,11060035584
2022/5/25,11060035584
