,values
0,2544696064
1,2544685568
2,2544685568
3,2544685568
4,2544685568
5,2544685568
6,2544685568
7,2544685568
8,2544685568
9,2544685568
10,2544685568
11,2544685568
12,2544685568
13,2544685568
14,2544685568
15,2544685568
16,2544685568
17,3228861952
18,4256652800
19,4293186560
20,4508762112
21,4508762112
22,4508762112
23,4508762112
24,4508762112
25,4508762112
26,4508762112
27,4508762112
28,4508762112
29,4508762112
30,4508762112
31,4508762112
32,4508762112
33,4508762112
34,4508762112
35,4508762112
36,4508762112
37,4508762112
38,5809913344
39,6763323904
40,6592740352
41,6978101760
42,6766818816
43,6766818816
44,6766818816
45,6766818816
46,6766818816
47,6766818816
48,6766818816
49,6766818816
50,6766818816
51,6766818816
52,6766818816
53,6766818816
54,6766818816
55,6766818816
56,6766818816
57,6766818816
58,6766818816
59,6766818816
60,8038347776
61,9009165312
62,8821420032
63,9225205760
64,8995752960
65,8995752960
66,8995752960
67,8995752960
68,8995752960
69,8995752960
70,8995752960
71,8995752960
72,8995752960
73,8995752960
74,8995752960
75,8995752960
76,8995752960
77,8995752960
78,8995752960
79,8995752960
80,8995752960
81,8995752960
82,8995752960
83,8995752960
84,8995752960
85,8995752960
86,8995752960
87,8995752960
88,8995752960
89,8995752960
90,8995752960
91,8995752960
92,8995752960
93,8995752960
94,10410614784
95,11390014464
96,11074510848
97,11606028288
98,11242126336
99,11242126336
100,11242126336
101,11242126336
102,11242126336
103,11242126336
104,11242126336
105,11242126336
106,11242126336
107,11242126336
108,11242126336
109,11242126336
110,11242126336
111,11242126336
112,11242126336
113,11242126336
114,11242126336
115,11242126336
116,11242126336
117,12052034560
118,12577909760
119,12362254336
120,12693936128
121,12448611328
122,12448611328
123,12448611328
124,12448611328
125,12448611328
126,12448611328
127,12448611328
128,12448611328
129,12448611328
130,12448611328
131,12448611328
132,12448611328
133,12448611328
134,12448611328
135,12448611328
136,14291098624
137,15785477120
138,15615862784
139,16116268032
140,15888059392
141,15888059392
142,15888059392
143,16533897216
144,17062773760
145,17007028224
146,17182091264
147,17105349632
148,17105349632
149,17105349632
150,17105349632
151,17105349632
152,17105349632
153,17105349632
154,17105349632
155,17105349632
156,17105349632
157,17105349632
158,17105349632
159,17105349632
160,17105349632
161,17105349632
162,17105349632
163,17105349632
164,17105349632
165,17105349632
166,17105349632
167,17105349632
168,17105349632
169,17105349632
170,17105349632
171,17105349632
172,17105349632
173,17105349632
174,17105349632
175,17105349632
176,17105349632
177,17105349632
178,17105349632
179,17105349632
180,18598318080
181,19584264192
182,19211548672
183,19806474240
184,19379963904
185,19379963904
186,19379963904
187,19379963904
188,19379963904
189,19379963904
190,19379963904
191,19379963904
192,19379963904
193,19379963904
194,19379963904
195,19379963904
196,19379963904
197,19379963904
198,19379963904
199,20674209792
200,21661294592
201,21477998592
202,21884702720
203,21657774080
204,21657774080
205,21657774080
206,21657774080
207,21657774080
208,21657774080
209,21657774080
210,21657774080
211,21657774080
212,21657774080
213,21657774080
214,21657774080
215,22422343680
216,22953369600
217,22790045696
218,23073556480
219,22883241984
220,22883241984
221,22883241984
222,22883241984
223,22883241984
224,22883241984
225,22883241984
226,22883241984
227,23605940224
228,24139237376
229,24018028544
230,24259940352
231,24113954816
232,24113954816
233,24113954816
234,24113954816
235,24113954816
236,24113954816
237,24113954816
238,24113954816
239,24113954816
240,24113954816
