,values
0,19004.033203125
1,19004.033203125
2,19004.033203125
3,147464.1498310361
4,102758.00303308386
5,75986.0427827388
6,80455.43249776028
7,86483.79138809629
8,93708.0191462189
9,91661.60177344456
10,82025.52610887028
11,77252.07380225696
12,73822.95449796319
13,81858.26056061126
14,80666.17432020418
15,82886.23344224226
16,88670.57296546642
17,93283.1678457316
18,89618.99894895591
19,79408.37889447436
20,72236.58122471347
21,79549.07028835826
22,77437.42254385352
23,78654.11980290711
24,75293.11971235089
25,71193.3581301663
26,75159.17959011905
27,74035.19660299644
28,73316.09838956036
29,74339.06766915135
30,69570.97807477228
31,70909.16630265675
32,69250.69966285303
33,77563.01534912549
34,79647.2909166012
35,74204.39336607791
36,72262.35735643469
37,72376.42671458423
38,71156.26603721268
39,63749.338972704485
40,57930.50891037844
41,58821.62888709083
42,62556.15146103501
43,59326.21861115657
44,59318.09474053979
45,57520.867921674624
46,58184.32799568027
47,59728.54971235059
48,54988.40687131137
49,50721.363780414686
50,49062.115078410134
51,55117.06408357434
52,55433.78331445716
53,59475.911700576544
54,58604.64652749337
55,54137.6668408867
56,53980.80750803463
57,54993.514216296375
58,52870.66223373078
59,53848.84648198448
60,53247.18528229743
61,51193.77723107487
62,50219.85442379303
63,45012.18203073554
64,44551.97832668014
65,43038.4485612791
66,48163.22236104868
67,52014.607372431085
68,49741.90269591473
69,45509.70127408765
70,42752.86817435175
71,49964.6467790734
72,50283.37702704407
73,46412.58410471864
74,41642.43561189249
75,42697.48540217057
76,43035.78316561505
77,42490.23891895078
78,43300.93417260237
79,41043.75901693106
80,38724.11464791186
81,39763.491273267195
82,42086.295811995864
83,40185.56545491889
84,40877.92990944907
85,38679.34557702765
86,39514.236877545714
87,40908.701662983745
88,39109.63939201459
89,38241.05557504855
90,37138.85860637762
91,39235.39180181734
92,37712.76457816176
93,37760.96514645778
94,36229.112780923024
95,36735.61775935814
96,36326.74287240207
97,36594.12834282033
98,37374.19548701495
99,36152.18339708634
100,36057.761356676
101,35719.78280229308
102,36007.48592947982
103,34932.64517738484
104,32218.745696429163
105,33207.76709232293
106,32832.712405439466
107,32703.8317468334
108,33633.78350588493
109,33903.22787475027
110,33216.178251095116
111,33085.47810083814
112,35571.605955915526
113,40892.821012170985
114,36767.01197056286
115,33905.30273365043
116,31417.48307054676
117,32656.62072662823
118,32650.699398536235
119,31824.570386758074
120,31163.280934371054
121,33586.89169474132
122,34726.308439990506
123,37072.750409727916
124,35255.74858949892
125,34942.20548877865
126,31725.10484317504
127,30390.667321763933
128,69461.88837798312
129,66280.09225458838
130,56427.46516264975
131,56745.57295295037
132,48620.297816300765
133,45694.34775574878
134,41237.183747785166
135,35787.51896515675
136,34190.19682109542
137,33146.31934797205
138,32855.599695153534
139,30891.8734297771
140,28225.775505790487
141,29688.58295130916
142,29436.088583612815
143,27775.770531252027
144,27595.17800467275
145,27860.121525770053
146,28112.52013074793
147,28767.17003465444
148,29178.726277727634
149,33538.67516599223
150,32380.77621607855
151,31494.98703069426
152,29105.020905412734
153,29121.52401389554
154,31081.83474231325
155,29507.86274110526
156,27307.79408654757
157,27690.81303951703
158,27241.781652616337
159,29135.18616173044
160,29253.213712243363
161,28943.772447964177
162,26666.311556430534
163,26197.983981758356
164,26973.646040903404
165,27066.775284614414
166,27084.539268890396
167,25718.659654915333
168,24330.371564818546
169,24352.748120034114
170,25543.238315133378
171,26541.740220155567
172,26670.73260193318
173,26904.361714091152
174,27340.640698982403
175,26934.479089049622
176,27946.387774657458
177,28820.270462045446
178,28472.17298041098
179,64513.90851696022
180,58996.33200648427
181,49901.02841310389
182,35734.33873550035
183,31197.0692135375
184,32035.28028829582
185,30698.528501188383
186,29092.1887011379
187,26298.74232204072
188,25073.20297198184
189,23916.22972834669
190,24910.949005989358
191,27205.982356362045
192,28334.59387487732
193,28190.53482539393
194,27330.250444028527
195,30880.206338576972
196,30938.49391321838
197,29488.821920583025
198,28835.305208845064
199,27536.603141875938
200,27008.104659099132
201,26248.88186662458
202,28375.692041553557
203,27049.1070630569
204,25173.849589092657
205,25600.28097443469
206,25993.961510060355
207,24991.80466128327
208,25842.049917662516
209,25360.650731919333
210,26631.086836487055
211,26887.379792016
212,27513.173196757212
213,26831.901257116348
214,25981.57619847171
215,25205.33956301585
216,26785.88727089204
217,26676.733732290566
218,26859.624564113095
219,26047.221541982144
220,24954.87217286043
221,40559.678475070745
222,39351.5679397732
223,35459.419931229204
224,29074.297033237293
225,27666.2179813236
226,26202.804038587958
227,24760.74518207088
228,23832.836361013353
229,22975.456782108173
230,24898.866943009198
231,24446.404058696702
232,24558.925252897665
233,24029.772391544655
234,23754.470536399633
235,22868.72923237458
236,23229.259906956926
237,23383.437883691862
238,23231.143240420148
239,23788.705708252266
240,24897.12725362368
241,26264.76251743734
242,25241.33038470708
243,24027.777334909886
244,24634.641642300412
245,26869.392361396924
246,26947.343214230612
247,27085.337291544303
248,26719.491786086932
249,25899.220260588452
250,25329.08095573075
251,30142.402474133298
252,30371.17960855551
253,29506.21881443821
254,34380.221975443885
255,36109.3295805715
256,37503.171908339486
257,35729.550599576905
258,32273.537931846455
259,30194.3377884496
260,28312.855737784877
261,30124.111794905737
262,32872.62949858792
263,32079.059811089188
264,30899.534447254613
265,30988.146882744506
266,36840.30237109773
267,37295.39873016812
268,35687.1117548421
269,33663.948762202635
270,32629.807165456936
271,32621.890780730173
272,34648.27778489143
273,32010.76503236778
274,32141.896114857867
275,30565.865215202793
276,33148.58573230915
277,36339.048381725326
278,36053.388192532584
279,35915.85696835816
280,34794.01268194802
281,35270.54392950237
282,37831.89339993708
283,37893.66035334952
284,40869.90180155076
285,39733.91655371338
286,40065.5428477712
287,39151.69518587552
288,38800.94826903008
289,36928.65943933837
290,34977.79729914293
291,42799.37693462148
292,43183.65676338412
293,43302.530217910185
294,40564.067599667236
295,41428.6932242699
296,44501.176204532385
297,45882.82474614866
298,46226.32561729662
299,46603.279598096386
300,41512.66116791405
301,40884.29813022725
302,40474.11448611878
303,39904.70936210267
304,41694.89762116037
305,38911.809576110914
306,45761.190133240074
307,45029.78641048074
308,44310.081699827686
309,44366.51786191203
310,52610.31532311998
311,68690.90273158997
312,87070.9445359353
313,98990.86527327448
314,99199.89932723902
315,98498.05436358042
316,103881.87429703493
317,109059.54901853204
318,114144.5573494574
319,108060.73588467482
320,107443.6808279939
321,109907.42414762918
322,112396.61640969757
323,115473.7438818058
324,112886.48261579871
325,121803.48400761653
326,126956.1726398198
327,132477.28439065255
328,140167.20624868944
329,134669.58030456118
330,130408.55430447496
331,140941.16053935513
332,153068.3277599141
333,156560.3950911481
334,165173.13438571058
335,171507.8541728817
336,171998.98923500255
337,179524.6620704122
338,183949.49020043947
339,204939.28952940553
340,215328.58685609698
341,239943.38812998496
342,260905.27262651734
343,291987.9198267013
344,301278.1484335251
345,298450.1157526076
346,290015.3355098665
347,323015.7109496556
348,331928.1875530258
349,340797.2836449295
350,395619.2055049464
351,375650.18887349963
352,398097.8638679832
353,396004.1077913791
354,405672.8225824982
355,386931.0371091366
356,371207.08602469787
357,395621.6314938143
358,421217.0908861831
359,434192.811555095
360,449522.6352112219
361,429241.5598011911
362,452623.24050980806
363,496307.51131920516
364,490563.59962362796
365,502830.93154311925
366,496296.9774201736
367,515617.2335548997
368,519873.2479727194
369,506684.87022699416
370,543370.035468936
371,535501.3405759707
372,535351.8230515346
373,527605.3213873357
374,535664.9032991156
375,549382.274301663
