,values
0,1.1532763719847117e+17
1,1.1532763719847117e+17
2,1.1532763719847117e+17
3,1.204721661331374e+17
4,1.1571801090370765e+17
5,1.14280180869931e+17
6,1.1455708181408973e+17
7,1.152282468263854e+17
8,1.1587976567073997e+17
9,1.1637583141125325e+17
10,1.1674188787776717e+17
11,1.1705292255636685e+17
12,1.1729652317998285e+17
13,1.175241868216238e+17
14,1.1773786525099213e+17
15,1.1790005154854093e+17
16,1.1807308375620813e+17
17,1.1826485954127053e+17
18,1.1851246911632589e+17
19,1.187878794684334e+17
20,1.190764366777262e+17
21,1.2018483269168333e+17
22,1.2094808170441933e+17
23,1.21758341190443e+17
24,1.2206896410328269e+17
25,1.223769286563758e+17
26,1.227007247794094e+17
27,1.2299267164443853e+17
28,1.2331241763945677e+17
29,1.2372164362824909e+17
30,1.2421712301432013e+17
31,1.2475693310211277e+17
32,1.2528243680033997e+17
33,1.2571444331803853e+17
34,1.2587855832640717e+17
35,1.252424230508462e+17
36,1.243072371273646e+17
37,1.2329718560046285e+17
38,1.2266869599153357e+17
39,1.223336685456302e+17
40,1.222010552649646e+17
41,1.2223171204932813e+17
42,1.2240738614611149e+17
43,1.22742626063147e+17
44,1.2317089045361869e+17
45,1.2366155382736077e+17
46,1.2407116687596749e+17
47,1.244132997518254e+17
48,1.2469892354184397e+17
49,1.2495507313876173e+17
50,1.2529054858581197e+17
51,1.2569267737996493e+17
52,1.2616739388935373e+17
53,1.2659316627344589e+17
54,1.2690434589359309e+17
55,1.2714299544571085e+17
56,1.272141386866606e+17
57,1.2721986717191373e+17
58,1.2720357442432205e+17
59,1.2721372033264845e+17
60,1.2729310547705037e+17
61,1.274185227392942e+17
62,1.2761838066269389e+17
63,1.2791127788309709e+17
64,1.2830158570581197e+17
65,1.2875230121258189e+17
66,1.2912216568884429e+17
67,1.2940093934367949e+17
68,1.29580943569195e+17
69,1.2976549204163789e+17
70,1.3001010396196045e+17
71,1.3032813207022797e+17
72,1.3075168750746829e+17
73,1.3108392482858189e+17
74,1.3136640766938317e+17
75,1.3155894604463309e+17
76,1.3174675899602125e+17
77,1.3196620873428173e+17
78,1.3228588061146317e+17
79,1.3268093197573325e+17
80,1.3302198931942605e+17
81,1.332644271165358e+17
82,1.333761968144302e+17
83,1.3350111666363597e+17
84,1.336497822206894e+17
85,1.3403522626624717e+17
86,1.343795052652462e+17
87,1.3479095314207949e+17
88,1.35058581121323e+17
89,1.3548891916416205e+17
